NO,Species,degree.bud,status,chilling,photoperiod,group,Growth.form,Deciduousness,shade.tolerance
461,Loropetalum chinensis,645.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
462,Loropetalum chinensis,435.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
463,Loropetalum chinensis,1404.4,1,C1,P14,C1/P14,Shrub,Evergreen,light
464,Loropetalum chinensis,229.4,2,C1,P14,C1/P14,Shrub,Evergreen,light
465,Loropetalum chinensis,279.4,2,C1,P10,C1/P10,Shrub,Evergreen,light
466,Loropetalum chinensis,535.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
467,Loropetalum chinensis,1404.4,1,C1,P10,C1/P10,Shrub,Evergreen,light
468,Loropetalum chinensis,229.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
469,Loropetalum chinensis,470.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
470,Loropetalum chinensis,1535.6,1,C2,P12,C2/P12,Shrub,Evergreen,light
471,Loropetalum chinensis,470.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
472,Loropetalum chinensis,1535.6,1,C2,P12,C2/P12,Shrub,Evergreen,light
473,Loropetalum chinensis,470.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
474,Loropetalum chinensis,520.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
475,Loropetalum chinensis,229.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
476,Loropetalum chinensis,279.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
477,Loropetalum chinensis,279.4,2,C1,P10,C1/P10,Shrub,Evergreen,light
478,Loropetalum chinensis,470.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
479,Loropetalum chinensis,354.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
480,Loropetalum chinensis,229.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
481,Loropetalum chinensis,1404.4,1,C1,P12,C1/P12,Shrub,Evergreen,light
482,Loropetalum chinensis,420.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
483,Loropetalum chinensis,470.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
484,Loropetalum chinensis,470.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
485,Loropetalum chinensis,470.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
486,Loropetalum chinensis,470.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
487,Loropetalum chinensis,470.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
488,Euonymus oblongifolius,229.4,2,C1,P14,C1/P14,Shrub,Evergreen,shade
489,Euonymus oblongifolius,595.9,1,C3,P10,C3/P10,Shrub,Evergreen,shade
490,Euonymus oblongifolius,754.4,1,C1,P12,C1/P12,Shrub,Evergreen,shade
491,Euonymus oblongifolius,754.4,1,C1,P12,C1/P12,Shrub,Evergreen,shade
492,Euonymus oblongifolius,354.4,1,C1,P14,C1/P14,Shrub,Evergreen,shade
493,Euonymus oblongifolius,229.4,2,C1,P14,C1/P14,Shrub,Evergreen,shade
494,Euonymus oblongifolius,354.4,1,C1,P14,C1/P14,Shrub,Evergreen,shade
495,Euonymus oblongifolius,354.4,1,C1,P12,C1/P12,Shrub,Evergreen,shade
496,Euonymus oblongifolius,760.6,1,C2,P14,C2/P14,Shrub,Evergreen,shade
497,Euonymus oblongifolius,770.9,1,C3,P10,C3/P10,Shrub,Evergreen,shade
498,Euonymus oblongifolius,585.6,1,C2,P14,C2/P14,Shrub,Evergreen,shade
499,Euonymus oblongifolius,1120.9,1,C3,P10,C3/P10,Shrub,Evergreen,shade
500,Euonymus oblongifolius,210.6,2,C2,P14,C2/P14,Shrub,Evergreen,shade
501,Euonymus oblongifolius,229.4,2,C1,P14,C1/P14,Shrub,Evergreen,shade
502,Euonymus oblongifolius,845.9,1,C3,P10,C3/P10,Shrub,Evergreen,shade
503,Euonymus oblongifolius,210.6,2,C2,P10,C2/P10,Shrub,Evergreen,shade
504,Euonymus oblongifolius,829.4,1,C1,P10,C1/P10,Shrub,Evergreen,shade
505,Euonymus oblongifolius,1745.9,1,C3,P14,C3/P14,Shrub,Evergreen,shade
506,Euonymus oblongifolius,985.6,1,C2,P14,C2/P14,Shrub,Evergreen,shade
507,Euonymus oblongifolius,754.4,1,C1,P12,C1/P12,Shrub,Evergreen,shade
508,Euonymus oblongifolius,210.6,2,C2,P14,C2/P14,Shrub,Evergreen,shade
509,Euonymus oblongifolius,229.4,2,C1,P14,C1/P14,Shrub,Evergreen,shade
510,Euonymus oblongifolius,754.4,1,C1,P10,C1/P10,Shrub,Evergreen,shade
511,Euonymus oblongifolius,985.6,1,C2,P12,C2/P12,Shrub,Evergreen,shade
512,Euonymus oblongifolius,1020.9,1,C3,P12,C3/P12,Shrub,Evergreen,shade
513,Euonymus oblongifolius,354.4,2,C1,P10,C1/P10,Shrub,Evergreen,shade
514,Euonymus oblongifolius,260.6,2,C2,P10,C2/P10,Shrub,Evergreen,shade
515,Euonymus oblongifolius,260.6,2,C2,P10,C2/P10,Shrub,Evergreen,shade
516,Euonymus oblongifolius,810.6,1,C2,P12,C2/P12,Shrub,Evergreen,shade
517,Euonymus oblongifolius,1745.9,1,C3,P14,C3/P14,Shrub,Evergreen,shade
518,Euonymus oblongifolius,910.6,1,C2,P12,C2/P12,Shrub,Evergreen,shade
519,Euonymus oblongifolius,754.4,1,C1,P10,C1/P10,Shrub,Evergreen,shade
520,Euonymus oblongifolius,260.6,2,C2,P14,C2/P14,Shrub,Evergreen,shade
521,Euonymus oblongifolius,1535.6,1,C2,P10,C2/P10,Shrub,Evergreen,shade
522,Euonymus oblongifolius,895.9,1,C3,P10,C3/P10,Shrub,Evergreen,shade
523,Euonymus oblongifolius,229.4,2,C1,P12,C1/P12,Shrub,Evergreen,shade
524,Euonymus oblongifolius,585.6,1,C2,P10,C2/P10,Shrub,Evergreen,shade
525,Euonymus oblongifolius,279.4,2,C1,P10,C1/P10,Shrub,Evergreen,shade
526,Euonymus oblongifolius,745.9,1,C3,P12,C3/P12,Shrub,Evergreen,shade
527,Euonymus oblongifolius,695.9,1,C3,P10,C3/P10,Shrub,Evergreen,shade
528,Euonymus oblongifolius,910.6,1,C2,P12,C2/P12,Shrub,Evergreen,shade
529,Euonymus oblongifolius,404.4,1,C1,P10,C1/P10,Shrub,Evergreen,shade
530,Euonymus oblongifolius,1535.6,1,C2,P10,C2/P10,Shrub,Evergreen,shade
531,Euonymus oblongifolius,1745.9,1,C3,P14,C3/P14,Shrub,Evergreen,shade
532,Euonymus oblongifolius,670.9,1,C3,P12,C3/P12,Shrub,Evergreen,shade
533,Euonymus oblongifolius,1745.9,1,C3,P14,C3/P14,Shrub,Evergreen,shade
534,Euonymus oblongifolius,1745.9,1,C3,P14,C3/P14,Shrub,Evergreen,shade
535,Euonymus oblongifolius,670.9,1,C3,P12,C3/P12,Shrub,Evergreen,shade
536,Euonymus oblongifolius,820.9,1,C3,P12,C3/P12,Shrub,Evergreen,shade
537,Euonymus oblongifolius,910.6,1,C2,P12,C2/P12,Shrub,Evergreen,shade
538,Euonymus oblongifolius,670.9,1,C3,P12,C3/P12,Shrub,Evergreen,shade
539,Euonymus oblongifolius,479.4,2,C1,P12,C1/P12,Shrub,Evergreen,shade
540,Euonymus oblongifolius,1745.9,1,C3,P14,C3/P14,Shrub,Evergreen,shade
541,Euonymus oblongifolius,810.6,1,C2,P12,C2/P12,Shrub,Evergreen,shade
542,Carpinus viminea,520.9,2,C3,P14,C3/P14,Tree,Deciduous,shade
543,Carpinus viminea,585.6,2,C2,P10,C2/P10,Tree,Deciduous,shade
544,Carpinus viminea,570.9,2,C3,P14,C3/P14,Tree,Deciduous,shade
545,Carpinus viminea,929.4,2,C1,P14,C1/P14,Tree,Deciduous,shade
546,Carpinus viminea,595.9,2,C3,P12,C3/P12,Tree,Deciduous,shade
547,Carpinus viminea,595.9,2,C3,P14,C3/P14,Tree,Deciduous,shade
548,Carpinus viminea,585.6,2,C2,P10,C2/P10,Tree,Deciduous,shade
549,Carpinus viminea,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,shade
550,Carpinus viminea,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,shade
551,Carpinus viminea,979.4,2,C1,P14,C1/P14,Tree,Deciduous,shade
552,Carpinus viminea,470.9,2,C3,P14,C3/P14,Tree,Deciduous,shade
553,Carpinus viminea,685.6,2,C2,P14,C2/P14,Tree,Deciduous,shade
554,Carpinus viminea,635.6,2,C2,P12,C2/P12,Tree,Deciduous,shade
555,Carpinus viminea,595.9,2,C3,P12,C3/P12,Tree,Deciduous,shade
556,Carpinus viminea,585.6,2,C2,P10,C2/P10,Tree,Deciduous,shade
557,Carpinus viminea,1404.4,1,C1,P12,C1/P12,Tree,Deciduous,shade
558,Carpinus viminea,595.9,2,C3,P10,C3/P10,Tree,Deciduous,shade
559,Carpinus viminea,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,shade
560,Carpinus viminea,760.6,2,C2,P14,C2/P14,Tree,Deciduous,shade
561,Carpinus viminea,979.4,2,C1,P14,C1/P14,Tree,Deciduous,shade
562,Carpinus viminea,695.9,2,C3,P10,C3/P10,Tree,Deciduous,shade
563,Carpinus viminea,585.6,2,C2,P14,C2/P14,Tree,Deciduous,shade
564,Carpinus viminea,645.9,2,C3,P12,C3/P12,Tree,Deciduous,shade
565,Carpinus viminea,535.6,2,C2,P10,C2/P10,Tree,Deciduous,shade
566,Carpinus viminea,645.9,2,C3,P14,C3/P14,Tree,Deciduous,shade
567,Carpinus viminea,695.9,2,C3,P10,C3/P10,Tree,Deciduous,shade
568,Carpinus viminea,635.6,2,C2,P12,C2/P12,Tree,Deciduous,shade
569,Carpinus viminea,470.9,2,C3,P10,C3/P10,Tree,Deciduous,shade
570,Carpinus viminea,595.9,2,C3,P10,C3/P10,Tree,Deciduous,shade
571,Carpinus viminea,1535.6,1,C2,P10,C2/P10,Tree,Deciduous,shade
572,Carpinus viminea,635.6,2,C2,P14,C2/P14,Tree,Deciduous,shade
573,Carpinus viminea,535.6,2,C2,P12,C2/P12,Tree,Deciduous,shade
574,Carpinus viminea,585.6,2,C2,P14,C2/P14,Tree,Deciduous,shade
575,Carpinus viminea,470.9,2,C3,P14,C3/P14,Tree,Deciduous,shade
576,Carpinus viminea,1029.4,2,C1,P10,C1/P10,Tree,Deciduous,shade
577,Carpinus viminea,595.9,2,C3,P10,C3/P10,Tree,Deciduous,shade
578,Carpinus viminea,470.9,2,C3,P12,C3/P12,Tree,Deciduous,shade
579,Carpinus viminea,929.4,2,C1,P12,C1/P12,Tree,Deciduous,shade
580,Carpinus viminea,470.9,2,C3,P12,C3/P12,Tree,Deciduous,shade
581,Carpinus viminea,829.4,2,C1,P12,C1/P12,Tree,Deciduous,shade
582,Carpinus viminea,1404.4,1,C1,P10,C1/P10,Tree,Deciduous,shade
583,Carpinus viminea,535.6,2,C2,P14,C2/P14,Tree,Deciduous,shade
584,Carpinus viminea,635.6,2,C2,P12,C2/P12,Tree,Deciduous,shade
585,Carpinus viminea,535.6,2,C2,P12,C2/P12,Tree,Deciduous,shade
586,Carpinus viminea,685.6,2,C2,P12,C2/P12,Tree,Deciduous,shade
587,Carpinus viminea,1029.4,2,C1,P10,C1/P10,Tree,Deciduous,shade
588,Carpinus viminea,1404.4,1,C1,P10,C1/P10,Tree,Deciduous,shade
589,Carpinus viminea,979.4,2,C1,P12,C1/P12,Tree,Deciduous,shade
590,Carpinus viminea,1535.6,1,C2,P10,C2/P10,Tree,Deciduous,shade
591,Carpinus viminea,1354.4,2,C1,P10,C1/P10,Tree,Deciduous,shade
592,Carpinus viminea,595.9,2,C3,P12,C3/P12,Tree,Deciduous,shade
593,Carpinus viminea,1354.4,2,C1,P10,C1/P10,Tree,Deciduous,shade
594,Carpinus viminea,1029.4,2,C1,P12,C1/P12,Tree,Deciduous,shade
595,Carpinus viminea,1129.4,2,C1,P12,C1/P12,Tree,Deciduous,shade
596,Rhododendron ovatum,695.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
597,Rhododendron ovatum,1045.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
598,Rhododendron ovatum,520.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
599,Rhododendron ovatum,670.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
600,Rhododendron ovatum,695.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
601,Rhododendron ovatum,645.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
602,Rhododendron ovatum,1404.4,1,C1,P12,C1/P12,Shrub,Evergreen,light
603,Rhododendron ovatum,704.4,2,C1,P10,C1/P10,Shrub,Evergreen,light
604,Rhododendron ovatum,695.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
605,Rhododendron ovatum,404.4,2,C1,P14,C1/P14,Shrub,Evergreen,light
606,Rhododendron ovatum,695.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
607,Rhododendron ovatum,695.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
608,Rhododendron ovatum,520.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
609,Rhododendron ovatum,845.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
610,Rhododendron ovatum,770.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
611,Rhododendron ovatum,945.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
612,Rhododendron ovatum,645.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
613,Rhododendron ovatum,695.9,2,C3,P14,C3/P14,Shrub,Evergreen,light
614,Rhododendron ovatum,535.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
615,Rhododendron ovatum,704.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
616,Rhododendron ovatum,754.4,2,C1,P14,C1/P14,Shrub,Evergreen,light
617,Rhododendron ovatum,479.4,2,C1,P10,C1/P10,Shrub,Evergreen,light
618,Rhododendron ovatum,479.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
619,Rhododendron ovatum,704.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
620,Rhododendron ovatum,585.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
621,Rhododendron ovatum,529.4,2,C1,P14,C1/P14,Shrub,Evergreen,light
622,Rhododendron ovatum,645.9,2,C3,P12,C3/P12,Shrub,Evergreen,light
623,Rhododendron ovatum,435.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
624,Rhododendron ovatum,479.4,2,C1,P14,C1/P14,Shrub,Evergreen,light
625,Rhododendron ovatum,595.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
626,Rhododendron ovatum,479.4,2,C1,P14,C1/P14,Shrub,Evergreen,light
627,Rhododendron ovatum,479.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
628,Rhododendron ovatum,535.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
629,Rhododendron ovatum,585.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
630,Rhododendron ovatum,404.4,2,C1,P14,C1/P14,Shrub,Evergreen,light
631,Rhododendron ovatum,360.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
632,Rhododendron ovatum,535.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
633,Rhododendron ovatum,535.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
634,Rhododendron ovatum,695.9,2,C3,P10,C3/P10,Shrub,Evergreen,light
635,Rhododendron ovatum,754.4,2,C1,P10,C1/P10,Shrub,Evergreen,light
636,Rhododendron ovatum,1404.4,1,C1,P10,C1/P10,Shrub,Evergreen,light
637,Rhododendron ovatum,535.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
638,Rhododendron ovatum,535.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
639,Rhododendron ovatum,435.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
640,Rhododendron ovatum,635.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
641,Rhododendron ovatum,585.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
642,Rhododendron ovatum,435.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
643,Rhododendron ovatum,479.4,2,C1,P10,C1/P10,Shrub,Evergreen,light
644,Rhododendron ovatum,404.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
645,Rhododendron ovatum,479.4,2,C1,P10,C1/P10,Shrub,Evergreen,light
646,Rhododendron ovatum,435.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
647,Rhododendron ovatum,535.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
648,Rhododendron ovatum,535.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
649,Rhododendron ovatum,360.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
650,Rhododendron mariesii,1404.4,1,C1,P14,C1/P14,Shrub,Deciduous,light
651,Rhododendron mariesii,354.4,2,C1,P12,C1/P12,Shrub,Deciduous,light
652,Rhododendron mariesii,895.9,1,C3,P10,C3/P10,Shrub,Deciduous,light
653,Rhododendron mariesii,579.4,2,C1,P10,C1/P10,Shrub,Deciduous,light
654,Rhododendron mariesii,579.4,2,C1,P12,C1/P12,Shrub,Deciduous,light
655,Rhododendron mariesii,1404.4,1,C1,P10,C1/P10,Shrub,Deciduous,light
656,Rhododendron mariesii,529.4,2,C1,P10,C1/P10,Shrub,Deciduous,light
657,Rhododendron mariesii,1535.6,1,C2,P10,C2/P10,Shrub,Deciduous,light
658,Rhododendron mariesii,520.9,2,C3,P10,C3/P10,Shrub,Deciduous,light
659,Rhododendron mariesii,985.6,1,C2,P10,C2/P10,Shrub,Deciduous,light
660,Rhododendron mariesii,1745.9,1,C3,P10,C3/P10,Shrub,Deciduous,light
661,Rhododendron mariesii,1235.6,1,C2,P10,C2/P10,Shrub,Deciduous,light
662,Rhododendron mariesii,1535.6,1,C2,P10,C2/P10,Shrub,Deciduous,light
663,Rhododendron mariesii,595.9,2,C3,P12,C3/P12,Shrub,Deciduous,light
664,Rhododendron mariesii,479.4,2,C1,P12,C1/P12,Shrub,Deciduous,light
665,Rhododendron mariesii,1404.4,1,C1,P10,C1/P10,Shrub,Deciduous,light
666,Rhododendron mariesii,595.9,2,C3,P10,C3/P10,Shrub,Deciduous,light
667,Rhododendron mariesii,535.6,2,C2,P14,C2/P14,Shrub,Deciduous,light
668,Rhododendron mariesii,595.9,2,C3,P14,C3/P14,Shrub,Deciduous,light
669,Rhododendron mariesii,595.9,2,C3,P10,C3/P10,Shrub,Deciduous,light
670,Rhododendron mariesii,1170.9,1,C3,P14,C3/P14,Shrub,Deciduous,light
671,Rhododendron mariesii,520.9,2,C3,P14,C3/P14,Shrub,Deciduous,light
672,Rhododendron mariesii,1404.4,1,C1,P10,C1/P10,Shrub,Deciduous,light
673,Rhododendron mariesii,1404.4,1,C1,P10,C1/P10,Shrub,Deciduous,light
674,Rhododendron mariesii,645.9,2,C3,P10,C3/P10,Shrub,Deciduous,light
675,Rhododendron mariesii,1035.6,1,C2,P12,C2/P12,Shrub,Deciduous,light
676,Rhododendron mariesii,1404.4,1,C1,P14,C1/P14,Shrub,Deciduous,light
677,Rhododendron mariesii,1404.4,1,C1,P14,C1/P14,Shrub,Deciduous,light
678,Rhododendron mariesii,1445.9,1,C3,P12,C3/P12,Shrub,Deciduous,light
679,Rhododendron mariesii,1404.4,1,C1,P12,C1/P12,Shrub,Deciduous,light
680,Rhododendron mariesii,1535.6,1,C2,P12,C2/P12,Shrub,Deciduous,light
681,Rhododendron mariesii,535.6,2,C2,P14,C2/P14,Shrub,Deciduous,light
682,Rhododendron mariesii,704.4,1,C1,P12,C1/P12,Shrub,Deciduous,light
683,Rhododendron mariesii,595.9,2,C3,P12,C3/P12,Shrub,Deciduous,light
684,Rhododendron mariesii,595.9,2,C3,P12,C3/P12,Shrub,Deciduous,light
685,Rhododendron mariesii,645.9,2,C3,P14,C3/P14,Shrub,Deciduous,light
686,Rhododendron mariesii,1535.6,1,C2,P12,C2/P12,Shrub,Deciduous,light
687,Rhododendron mariesii,645.9,2,C3,P14,C3/P14,Shrub,Deciduous,light
688,Rhododendron mariesii,535.6,2,C2,P14,C2/P14,Shrub,Deciduous,light
689,Rhododendron mariesii,685.6,2,C2,P14,C2/P14,Shrub,Deciduous,light
690,Rhododendron mariesii,770.9,2,C3,P14,C3/P14,Shrub,Deciduous,light
691,Rhododendron mariesii,635.6,2,C2,P12,C2/P12,Shrub,Deciduous,light
692,Rhododendron mariesii,1404.4,1,C1,P12,C1/P12,Shrub,Deciduous,light
693,Rhododendron mariesii,754.4,2,C1,P14,C1/P14,Shrub,Deciduous,light
694,Rhododendron mariesii,685.6,2,C2,P12,C2/P12,Shrub,Deciduous,light
695,Rhododendron mariesii,479.4,2,C1,P14,C1/P14,Shrub,Deciduous,light
696,Rhododendron mariesii,770.9,2,C3,P12,C3/P12,Shrub,Deciduous,light
697,Rhododendron mariesii,360.6,2,C2,P10,C2/P10,Shrub,Deciduous,light
698,Rhododendron mariesii,629.4,2,C1,P14,C1/P14,Shrub,Deciduous,light
699,Rhododendron mariesii,985.6,1,C2,P14,C2/P14,Shrub,Deciduous,light
700,Rhododendron mariesii,535.6,2,C2,P14,C2/P14,Shrub,Deciduous,light
701,Rhododendron mariesii,360.6,2,C2,P10,C2/P10,Shrub,Deciduous,light
702,Rhododendron mariesii,635.6,2,C2,P12,C2/P12,Shrub,Deciduous,light
703,Rhododendron mariesii,595.9,2,C3,P12,C3/P12,Shrub,Deciduous,light
704,Alangium kurzii,579.4,2,C1,P10,C1/P10,Tree,Deciduous,light
705,Alangium kurzii,435.6,2,C2,P14,C2/P14,Tree,Deciduous,light
706,Alangium kurzii,1535.6,1,C2,P10,C2/P10,Tree,Deciduous,light
707,Alangium kurzii,435.6,2,C2,P14,C2/P14,Tree,Deciduous,light
708,Alangium kurzii,1535.6,1,C2,P10,C2/P10,Tree,Deciduous,light
709,Alangium kurzii,1404.4,1,C1,P10,C1/P10,Tree,Deciduous,light
710,Alangium kurzii,1535.6,1,C2,P10,C2/P10,Tree,Deciduous,light
711,Alangium kurzii,470.9,2,C3,P10,C3/P10,Tree,Deciduous,light
712,Alangium kurzii,1535.6,1,C2,P12,C2/P12,Tree,Deciduous,light
713,Alangium kurzii,1535.6,1,C2,P12,C2/P12,Tree,Deciduous,light
714,Alangium kurzii,1745.9,1,C3,P10,C3/P10,Tree,Deciduous,light
715,Alangium kurzii,1535.6,1,C2,P12,C2/P12,Tree,Deciduous,light
716,Alangium kurzii,1535.6,1,C2,P12,C2/P12,Tree,Deciduous,light
717,Alangium kurzii,520.9,2,C3,P14,C3/P14,Tree,Deciduous,light
718,Alangium kurzii,420.9,2,C3,P10,C3/P10,Tree,Deciduous,light
719,Alangium kurzii,1404.4,1,C1,P10,C1/P10,Tree,Deciduous,light
720,Alangium kurzii,1535.6,1,C2,P14,C2/P14,Tree,Deciduous,light
721,Alangium kurzii,1404.4,1,C1,P10,C1/P10,Tree,Deciduous,light
722,Alangium kurzii,1404.4,1,C1,P10,C1/P10,Tree,Deciduous,light
723,Alangium kurzii,1535.6,1,C2,P10,C2/P10,Tree,Deciduous,light
724,Alangium kurzii,1404.4,1,C1,P12,C1/P12,Tree,Deciduous,light
725,Alangium kurzii,470.9,2,C3,P14,C3/P14,Tree,Deciduous,light
726,Alangium kurzii,1404.4,1,C1,P12,C1/P12,Tree,Deciduous,light
727,Alangium kurzii,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,light
728,Alangium kurzii,470.9,2,C3,P10,C3/P10,Tree,Deciduous,light
729,Alangium kurzii,595.9,2,C3,P12,C3/P12,Tree,Deciduous,light
730,Alangium kurzii,520.9,2,C3,P12,C3/P12,Tree,Deciduous,light
731,Alangium kurzii,1404.4,1,C1,P12,C1/P12,Tree,Deciduous,light
732,Alangium kurzii,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,light
733,Alangium kurzii,1745.9,1,C3,P14,C3/P14,Tree,Deciduous,light
734,Alangium kurzii,1745.9,1,C3,P14,C3/P14,Tree,Deciduous,light
735,Alangium kurzii,520.9,2,C3,P12,C3/P12,Tree,Deciduous,light
736,Alangium kurzii,470.9,2,C3,P10,C3/P10,Tree,Deciduous,light
737,Alangium kurzii,1535.6,1,C2,P14,C2/P14,Tree,Deciduous,light
738,Alangium kurzii,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,light
739,Alangium kurzii,1404.4,1,C1,P12,C1/P12,Tree,Deciduous,light
740,Alangium kurzii,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,light
741,Alangium kurzii,470.9,2,C3,P10,C3/P10,Tree,Deciduous,light
742,Alangium kurzii,1404.4,1,C1,P12,C1/P12,Tree,Deciduous,light
743,Alangium kurzii,1535.6,1,C2,P14,C2/P14,Tree,Deciduous,light
744,Alangium kurzii,470.9,2,C3,P12,C3/P12,Tree,Deciduous,light
745,Alangium kurzii,985.6,1,C2,P14,C2/P14,Tree,Deciduous,light
746,Alangium kurzii,470.9,2,C3,P14,C3/P14,Tree,Deciduous,light
747,Alangium kurzii,1404.4,1,C1,P10,C1/P10,Tree,Deciduous,light
748,Alangium kurzii,685.6,2,C2,P12,C2/P12,Tree,Deciduous,light
749,Alangium kurzii,470.9,2,C3,P12,C3/P12,Tree,Deciduous,light
750,Alangium kurzii,1404.4,1,C1,P14,C1/P14,Tree,Deciduous,light
751,Alangium kurzii,360.6,2,C2,P10,C2/P10,Tree,Deciduous,light
752,Alangium kurzii,520.9,2,C3,P14,C3/P14,Tree,Deciduous,light
753,Alangium kurzii,470.9,2,C3,P12,C3/P12,Tree,Deciduous,light
754,Alangium kurzii,354.4,2,C1,P14,C1/P14,Tree,Deciduous,light
755,Alangium kurzii,1404.4,1,C1,P12,C1/P12,Tree,Deciduous,light
756,Alangium kurzii,435.6,2,C2,P10,C2/P10,Tree,Deciduous,light
757,Alangium kurzii,760.6,2,C2,P12,C2/P12,Tree,Deciduous,light
758,Camellia fraterna,579.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
759,Camellia fraterna,535.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
760,Camellia fraterna,1745.9,1,C3,P14,C3/P14,Shrub,Evergreen,light
761,Camellia fraterna,1720.9,1,C3,P12,C3/P12,Shrub,Evergreen,light
762,Camellia fraterna,585.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
763,Camellia fraterna,1535.6,1,C2,P12,C2/P12,Shrub,Evergreen,light
764,Camellia fraterna,635.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
765,Camellia fraterna,1020.9,1,C3,P12,C3/P12,Shrub,Evergreen,light
766,Camellia fraterna,585.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
767,Camellia fraterna,1720.9,1,C3,P12,C3/P12,Shrub,Evergreen,light
768,Camellia fraterna,704.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
769,Camellia fraterna,585.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
770,Camellia fraterna,435.6,2,C2,P14,C2/P14,Shrub,Evergreen,light
771,Camellia fraterna,579.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
772,Camellia fraterna,635.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
773,Camellia fraterna,979.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
774,Camellia fraterna,1404.4,2,C1,P12,C1/P12,Shrub,Evergreen,light
775,Camellia fraterna,1404.4,1,C1,P10,C1/P10,Shrub,Evergreen,light
776,Camellia fraterna,260.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
777,Camellia fraterna,585.6,2,C2,P12,C2/P12,Shrub,Evergreen,light
778,Camellia fraterna,435.6,2,C2,P10,C2/P10,Shrub,Evergreen,light
779,Camellia fraterna,1535.6,1,C2,P14,C2/P14,Shrub,Evergreen,light
